,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,34,292,0.11643835616438356,2.3072627309250504,0,34,0,0,0,0,0,0,0,0,24,34,28,31,30,29,37,35,23,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30,292,0.10273972602739725,2.303333739711814,0,30,0,0,0,0,0,0,0,0,27,30,32,36,20,27,30,36,27,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,34,292,0.11643835616438356,2.290669856006152,0,0,0,34,0,0,0,0,0,0,30,39,24,34,22,24,26,41,23,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,52,292,0.1780821917808219,9.298789285633662,6,6,1,11,12,4,5,3,3,1,25,36,39,32,25,29,21,31,28,26,0.24,0.16666666666666666,0.02564102564102564,0.34375,0.48,0.13793103448275862,0.23809523809523808,0.0967741935483871,0.10714285714285714,0.038461538461538464
4,25,292,0.08561643835616438,2.308020098568642,0,0,0,25,0,0,0,0,0,0,36,37,22,25,17,22,33,41,29,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
