,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,225,292,0.7705479452054794,1.6632607309785608,12,37,24,26,19,23,21,32,11,20,23,44,32,31,22,29,24,32,26,29,0.5217391304347826,0.8409090909090909,0.75,0.8387096774193549,0.8636363636363636,0.7931034482758621,0.875,1.0,0.4230769230769231,0.6896551724137931
1,225,292,0.7705479452054794,1.3911055440772069,15,33,24,25,19,19,20,30,16,24,22,40,31,32,19,30,25,36,29,28,0.6818181818181818,0.825,0.7741935483870968,0.78125,1.0,0.6333333333333333,0.8,0.8333333333333334,0.5517241379310345,0.8571428571428571
2,217,292,0.7431506849315068,1.8477908617829624,15,18,22,32,24,20,24,26,17,19,31,27,28,39,25,30,28,30,27,27,0.4838709677419355,0.6666666666666666,0.7857142857142857,0.8205128205128205,0.96,0.6666666666666666,0.8571428571428571,0.8666666666666667,0.6296296296296297,0.7037037037037037
3,200,292,0.684931506849315,2.171794597416708,14,31,14,21,20,20,23,28,11,18,22,42,21,33,26,32,31,35,20,30,0.6363636363636364,0.7380952380952381,0.6666666666666666,0.6363636363636364,0.7692307692307693,0.625,0.7419354838709677,0.8,0.55,0.6
4,225,292,0.7705479452054794,1.6320799491176867,19,27,18,22,25,28,18,38,11,19,30,35,24,28,29,36,22,44,19,25,0.6333333333333333,0.7714285714285715,0.75,0.7857142857142857,0.8620689655172413,0.7777777777777778,0.8181818181818182,0.8636363636363636,0.5789473684210527,0.76
