,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,198,292,0.678082191780822,1.612317679679557,17,23,14,26,13,18,29,24,13,21,41,36,25,37,25,27,33,24,18,26,0.4146341463414634,0.6388888888888888,0.56,0.7027027027027027,0.52,0.6666666666666666,0.8787878787878788,1.0,0.7222222222222222,0.8076923076923077
1,210,292,0.7191780821917808,1.6200333049852553,13,29,22,24,11,23,28,23,12,25,28,38,27,32,20,29,37,28,21,32,0.4642857142857143,0.7631578947368421,0.8148148148148148,0.75,0.55,0.7931034482758621,0.7567567567567568,0.8214285714285714,0.5714285714285714,0.78125
2,205,292,0.702054794520548,1.5449108473242146,17,22,18,23,22,25,21,24,9,24,32,31,25,30,24,34,32,31,24,29,0.53125,0.7096774193548387,0.72,0.7666666666666667,0.9166666666666666,0.7352941176470589,0.65625,0.7741935483870968,0.375,0.8275862068965517
3,202,292,0.6917808219178082,1.9710254473228976,15,22,13,28,23,26,18,27,14,16,25,37,25,32,34,36,20,32,29,22,0.6,0.5945945945945946,0.52,0.875,0.6764705882352942,0.7222222222222222,0.9,0.84375,0.4827586206896552,0.7272727272727273
4,206,292,0.7054794520547946,1.5756555387418565,13,24,16,23,15,24,16,34,17,24,22,35,25,34,20,32,22,39,32,31,0.5909090909090909,0.6857142857142857,0.64,0.6764705882352942,0.75,0.75,0.7272727272727273,0.8717948717948718,0.53125,0.7741935483870968
