,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,199,292,0.6815068493150684,1.9171392917633057,13,26,14,20,19,20,25,26,13,23,23,37,22,31,24,31,32,29,27,36,0.5652173913043478,0.7027027027027027,0.6363636363636364,0.6451612903225806,0.7916666666666666,0.6451612903225806,0.78125,0.896551724137931,0.48148148148148145,0.6388888888888888
1,184,292,0.6301369863013698,2.911768812022797,9,22,20,21,27,18,18,17,9,23,23,33,29,37,36,35,20,24,25,30,0.391304347826087,0.6666666666666666,0.6896551724137931,0.5675675675675675,0.75,0.5142857142857142,0.9,0.7083333333333334,0.36,0.7666666666666667
2,222,292,0.7602739726027398,1.328779491659713,15,27,18,27,25,18,22,34,13,23,23,34,26,32,30,26,25,36,30,30,0.6521739130434783,0.7941176470588235,0.6923076923076923,0.84375,0.8333333333333334,0.6923076923076923,0.88,0.9444444444444444,0.43333333333333335,0.7666666666666667
3,218,292,0.7465753424657534,1.2862455550938436,16,22,15,27,17,25,29,36,14,17,21,30,18,32,24,37,33,38,30,29,0.7619047619047619,0.7333333333333333,0.8333333333333334,0.84375,0.7083333333333334,0.6756756756756757,0.8787878787878788,0.9473684210526315,0.4666666666666667,0.5862068965517241
4,207,292,0.708904109589041,1.825945452468036,13,18,19,24,22,24,22,30,17,18,21,26,29,38,29,30,29,34,29,27,0.6190476190476191,0.6923076923076923,0.6551724137931034,0.631578947368421,0.7586206896551724,0.8,0.7586206896551724,0.8823529411764706,0.5862068965517241,0.6666666666666666
