,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,183,292,0.6267123287671232,1.9140220308957034,12,24,27,19,18,18,16,21,12,16,27,33,35,29,26,27,27,29,31,28,0.4444444444444444,0.7272727272727273,0.7714285714285715,0.6551724137931034,0.6923076923076923,0.6666666666666666,0.5925925925925926,0.7241379310344828,0.3870967741935484,0.5714285714285714
1,190,292,0.6506849315068494,1.8436069717145946,14,23,20,25,12,18,17,31,14,16,36,40,29,39,24,21,21,32,22,28,0.3888888888888889,0.575,0.6896551724137931,0.6410256410256411,0.5,0.8571428571428571,0.8095238095238095,0.96875,0.6363636363636364,0.5714285714285714
2,202,292,0.6917808219178082,1.369598440928002,18,22,15,26,19,13,18,30,17,24,32,27,26,34,24,22,26,35,29,37,0.5625,0.8148148148148148,0.5769230769230769,0.7647058823529411,0.7916666666666666,0.5909090909090909,0.6923076923076923,0.8571428571428571,0.5862068965517241,0.6486486486486487
3,210,292,0.7191780821917808,1.433061710775715,13,32,15,28,16,19,23,32,9,23,19,45,21,32,25,28,29,34,26,33,0.6842105263157895,0.7111111111111111,0.7142857142857143,0.875,0.64,0.6785714285714286,0.7931034482758621,0.9411764705882353,0.34615384615384615,0.696969696969697
4,214,292,0.7328767123287672,1.47289922139416,12,22,17,36,20,25,23,29,15,15,22,37,24,45,31,30,28,30,24,21,0.5454545454545454,0.5945945945945946,0.7083333333333334,0.8,0.6451612903225806,0.8333333333333334,0.8214285714285714,0.9666666666666667,0.625,0.7142857142857143
