,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,219,292,0.75,1.8333688990710533,19,23,14,24,22,29,20,34,18,16,29,35,17,31,30,33,28,38,28,23,0.6551724137931034,0.6571428571428571,0.8235294117647058,0.7741935483870968,0.7333333333333333,0.8787878787878788,0.7142857142857143,0.8947368421052632,0.6428571428571429,0.6956521739130435
1,219,292,0.75,1.9101256148455894,23,26,18,29,22,21,17,27,12,24,32,37,24,33,28,29,22,32,25,30,0.71875,0.7027027027027027,0.75,0.8787878787878788,0.7857142857142857,0.7241379310344828,0.7727272727272727,0.84375,0.48,0.8
2,200,292,0.684931506849315,2.418524604954132,13,25,24,29,14,11,15,31,15,23,21,31,27,41,24,22,24,37,31,34,0.6190476190476191,0.8064516129032258,0.8888888888888888,0.7073170731707317,0.5833333333333334,0.5,0.625,0.8378378378378378,0.4838709677419355,0.6764705882352942
3,210,292,0.7191780821917808,2.007431144583715,14,26,17,24,25,23,24,23,12,22,28,35,24,29,27,34,31,30,25,29,0.5,0.7428571428571429,0.7083333333333334,0.8275862068965517,0.9259259259259259,0.6764705882352942,0.7741935483870968,0.7666666666666667,0.48,0.7586206896551724
4,200,292,0.684931506849315,1.9783810295470774,13,32,17,25,18,16,28,22,13,16,25,43,23,32,27,27,36,28,28,23,0.52,0.7441860465116279,0.7391304347826086,0.78125,0.6666666666666666,0.5925925925925926,0.7777777777777778,0.7857142857142857,0.4642857142857143,0.6956521739130435
