,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,181,292,0.6198630136986302,1.981752634048462,15,22,14,21,13,19,25,26,13,13,24,37,22,29,20,35,33,32,30,30,0.625,0.5945945945945946,0.6363636363636364,0.7241379310344828,0.65,0.5428571428571428,0.7575757575757576,0.8125,0.43333333333333335,0.43333333333333335
1,191,292,0.6541095890410958,1.527579088733621,16,28,16,16,17,26,16,30,7,19,35,35,23,25,26,35,21,35,23,34,0.45714285714285713,0.8,0.6956521739130435,0.64,0.6538461538461539,0.7428571428571429,0.7619047619047619,0.8571428571428571,0.30434782608695654,0.5588235294117647
2,201,292,0.6883561643835616,1.9214827393832272,14,24,14,21,21,30,14,29,11,23,29,34,24,27,34,38,22,34,21,29,0.4827586206896552,0.7058823529411765,0.5833333333333334,0.7777777777777778,0.6176470588235294,0.7894736842105263,0.6363636363636364,0.8529411764705882,0.5238095238095238,0.7931034482758621
3,206,292,0.7054794520547946,1.7575545115013644,13,33,17,30,14,19,20,31,13,16,23,44,26,39,24,28,27,34,26,21,0.5652173913043478,0.75,0.6538461538461539,0.7692307692307693,0.5833333333333334,0.6785714285714286,0.7407407407407407,0.9117647058823529,0.5,0.7619047619047619
4,184,292,0.6301369863013698,1.6203563833889896,22,15,13,26,23,14,15,20,10,26,34,27,26,36,30,25,27,23,29,35,0.6470588235294118,0.5555555555555556,0.5,0.7222222222222222,0.7666666666666667,0.56,0.5555555555555556,0.8695652173913043,0.3448275862068966,0.7428571428571429
