,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,284,292,0.9726027397260274,0.08435911741362859,27,28,20,31,31,36,27,32,28,24,27,30,20,31,32,37,28,32,31,24,1.0,0.9333333333333333,1.0,1.0,0.96875,0.972972972972973,0.9642857142857143,1.0,0.9032258064516129,1.0
1,289,292,0.9897260273972602,0.034117446064132535,17,33,25,28,33,24,37,34,32,26,18,33,25,29,33,25,37,34,32,26,0.9444444444444444,1.0,1.0,0.9655172413793104,1.0,0.96,1.0,1.0,1.0,1.0
2,286,292,0.9794520547945206,0.07473295212608494,27,41,30,24,29,26,26,29,18,36,27,42,30,25,29,27,26,29,20,37,1.0,0.9761904761904762,1.0,0.96,1.0,0.9629629629629629,1.0,1.0,0.9,0.972972972972973
3,287,292,0.9828767123287672,0.08127546463518927,26,43,23,35,30,35,21,26,24,24,28,44,23,35,30,37,21,26,24,24,0.9285714285714286,0.9772727272727273,1.0,1.0,1.0,0.9459459459459459,1.0,1.0,1.0,1.0
4,288,292,0.9863013698630136,0.08541495648965444,32,40,24,29,26,28,18,34,26,31,33,40,24,29,26,28,18,34,27,33,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629629,0.9393939393939394
