,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,204,292,0.6986301369863014,1.4092791766336519,19,19,20,35,11,18,17,32,13,20,30,28,27,48,20,25,23,36,29,26,0.6333333333333333,0.6785714285714286,0.7407407407407407,0.7291666666666666,0.55,0.72,0.7391304347826086,0.8888888888888888,0.4482758620689655,0.7692307692307693
1,197,292,0.6746575342465754,1.7418909824057802,10,20,20,23,24,18,25,29,11,17,23,36,27,37,27,25,30,34,21,32,0.43478260869565216,0.5555555555555556,0.7407407407407407,0.6216216216216216,0.8888888888888888,0.72,0.8333333333333334,0.8529411764705882,0.5238095238095238,0.53125
2,205,292,0.702054794520548,1.5011414567085162,19,22,18,20,26,20,21,26,16,17,29,27,23,34,34,26,24,28,42,25,0.6551724137931034,0.8148148148148148,0.782608695652174,0.5882352941176471,0.7647058823529411,0.7692307692307693,0.875,0.9285714285714286,0.38095238095238093,0.68
3,206,292,0.7054794520547946,1.4719461022991023,14,38,16,23,22,20,20,35,7,11,34,48,29,30,25,27,29,36,16,18,0.4117647058823529,0.7916666666666666,0.5517241379310345,0.7666666666666667,0.88,0.7407407407407407,0.6896551724137931,0.9722222222222222,0.4375,0.6111111111111112
4,218,292,0.7465753424657534,1.5485372673975277,21,29,19,24,20,19,27,34,12,13,28,39,25,33,25,26,31,39,26,20,0.75,0.7435897435897436,0.76,0.7272727272727273,0.8,0.7307692307692307,0.8709677419354839,0.8717948717948718,0.46153846153846156,0.65
