,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,223,292,0.7636986301369864,1.9312452943357703,15,27,29,21,25,18,26,27,13,22,22,38,35,27,28,25,28,33,26,30,0.6818181818181818,0.7105263157894737,0.8285714285714286,0.7777777777777778,0.8928571428571429,0.72,0.9285714285714286,0.8181818181818182,0.5,0.7333333333333333
1,210,292,0.7191780821917808,2.033061530492077,15,27,19,26,20,18,20,29,15,21,25,34,29,37,30,27,22,30,27,31,0.6,0.7941176470588235,0.6551724137931034,0.7027027027027027,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.9666666666666667,0.5555555555555556,0.6774193548387096
2,197,292,0.6746575342465754,1.903266186583532,18,24,21,23,19,20,21,23,14,14,39,29,29,30,27,32,27,30,24,25,0.46153846153846156,0.8275862068965517,0.7241379310344828,0.7666666666666667,0.7037037037037037,0.625,0.7777777777777778,0.7666666666666667,0.5833333333333334,0.56
3,192,292,0.6575342465753424,2.3878704962665087,11,21,20,15,19,23,22,27,13,21,25,34,25,29,25,33,30,30,30,31,0.44,0.6176470588235294,0.8,0.5172413793103449,0.76,0.696969696969697,0.7333333333333333,0.9,0.43333333333333335,0.6774193548387096
4,211,292,0.7226027397260274,2.2548006185113567,23,32,14,28,22,21,19,22,13,17,32,40,25,40,26,29,24,25,32,19,0.71875,0.8,0.56,0.7,0.8461538461538461,0.7241379310344828,0.7916666666666666,0.88,0.40625,0.8947368421052632
