,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,202,292,0.6917808219178082,1.451744649508228,10,29,15,19,22,18,23,32,13,21,20,38,30,30,24,28,32,36,23,31,0.5,0.7631578947368421,0.5,0.6333333333333333,0.9166666666666666,0.6428571428571429,0.71875,0.8888888888888888,0.5652173913043478,0.6774193548387096
1,189,292,0.6472602739726028,1.5015949860011062,15,18,18,29,20,9,18,30,14,18,31,29,28,36,28,17,34,36,25,28,0.4838709677419355,0.6206896551724138,0.6428571428571429,0.8055555555555556,0.7142857142857143,0.5294117647058824,0.5294117647058824,0.8333333333333334,0.56,0.6428571428571429
2,186,292,0.636986301369863,1.6331401981719553,9,31,14,18,18,17,23,23,10,23,24,38,22,34,25,27,36,28,22,36,0.375,0.8157894736842105,0.6363636363636364,0.5294117647058824,0.72,0.6296296296296297,0.6388888888888888,0.8214285714285714,0.45454545454545453,0.6388888888888888
3,187,292,0.6404109589041096,1.762018579326264,18,17,17,27,22,16,18,19,16,17,32,32,30,37,27,32,23,21,25,33,0.5625,0.53125,0.5666666666666667,0.7297297297297297,0.8148148148148148,0.5,0.782608695652174,0.9047619047619048,0.64,0.5151515151515151
4,189,292,0.6472602739726028,1.7075062532947487,15,20,13,22,21,27,15,26,9,21,28,32,24,34,28,40,22,33,21,30,0.5357142857142857,0.625,0.5416666666666666,0.6470588235294118,0.75,0.675,0.6818181818181818,0.7878787878787878,0.42857142857142855,0.7
