,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,207,292,0.708904109589041,1.4968545551169408,12,24,13,23,21,30,19,35,15,15,26,27,22,37,30,35,21,42,28,24,0.46153846153846156,0.8888888888888888,0.5909090909090909,0.6216216216216216,0.7,0.8571428571428571,0.9047619047619048,0.8333333333333334,0.5357142857142857,0.625
1,213,292,0.7294520547945206,1.2664977295757973,19,28,18,26,15,21,25,32,13,16,30,37,25,35,19,24,32,34,29,27,0.6333333333333333,0.7567567567567568,0.72,0.7428571428571429,0.7894736842105263,0.875,0.78125,0.9411764705882353,0.4482758620689655,0.5925925925925926
2,193,292,0.660958904109589,1.5300814321596328,10,22,15,22,17,15,22,31,15,24,30,33,24,32,26,24,26,36,28,33,0.3333333333333333,0.6666666666666666,0.625,0.6875,0.6538461538461539,0.625,0.8461538461538461,0.8611111111111112,0.5357142857142857,0.7272727272727273
3,209,292,0.7157534246575342,1.338420611538299,12,34,13,19,21,24,22,29,12,23,32,37,27,31,21,34,29,31,23,27,0.375,0.918918918918919,0.48148148148148145,0.6129032258064516,1.0,0.7058823529411765,0.7586206896551724,0.9354838709677419,0.5217391304347826,0.8518518518518519
4,208,292,0.7123287671232876,1.3964374816580996,19,25,18,24,16,20,22,29,9,26,38,33,28,33,20,29,28,31,20,32,0.5,0.7575757575757576,0.6428571428571429,0.7272727272727273,0.8,0.6896551724137931,0.7857142857142857,0.9354838709677419,0.45,0.8125
