,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.ANHINGA,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.BARRED PUFFBIRD,correct_labels.BIRD OF PARADISE,correct_labels.BLUE HERON,correct_labels.CALIFORNIA CONDOR,correct_labels.CAPUCHINBIRD,correct_labels.CUBAN TODY,correct_labels.EASTERN BLUEBIRD,correct_labels.ELEGANT TROGON,correct_labels.EURASIAN GOLDEN ORIOLE,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.GLOSSY IBIS,correct_labels.GOLDEN CHLOROPHONIA,correct_labels.GREY PLOVER,correct_labels.GUINEAFOWL,correct_labels.HOOPOES,correct_labels.HOUSE FINCH,correct_labels.INDIAN BUSTARD,correct_labels.INDIAN PITTA,correct_labels.INDIGO BUNTING,correct_labels.JAVA SPARROW,correct_labels.KAKAPO,correct_labels.KING VULTURE,correct_labels.MALLARD DUCK,correct_labels.MASKED BOOBY,correct_labels.MIKADO  PHEASANT,correct_labels.MYNA,correct_labels.NICOBAR PIGEON,correct_labels.NORTHERN JACANA,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.RAINBOW LORIKEET,correct_labels.RED HEADED WOODPECKER,correct_labels.RED WISKERED BULBUL,correct_labels.ROSY FACED LOVEBIRD,correct_labels.ROYAL FLYCATCHER,correct_labels.RUBY THROATED HUMMINGBIRD,correct_labels.SAND MARTIN,correct_labels.TRUMPTER SWAN,correct_labels.TURQUOISE MOTMOT,correct_labels.UMBRELLA BIRD,correct_labels.WATTLED CURASSOW,correct_labels.WHITE TAILED TROPIC,correct_labels.WILSONS BIRD OF PARADISE,total_labels.ALBATROSS,total_labels.ANHINGA,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.BARRED PUFFBIRD,total_labels.BIRD OF PARADISE,total_labels.BLUE HERON,total_labels.CALIFORNIA CONDOR,total_labels.CAPUCHINBIRD,total_labels.CUBAN TODY,total_labels.EASTERN BLUEBIRD,total_labels.ELEGANT TROGON,total_labels.EURASIAN GOLDEN ORIOLE,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.GLOSSY IBIS,total_labels.GOLDEN CHLOROPHONIA,total_labels.GREY PLOVER,total_labels.GUINEAFOWL,total_labels.HOOPOES,total_labels.HOUSE FINCH,total_labels.INDIAN BUSTARD,total_labels.INDIAN PITTA,total_labels.INDIGO BUNTING,total_labels.JAVA SPARROW,total_labels.KAKAPO,total_labels.KING VULTURE,total_labels.MALLARD DUCK,total_labels.MASKED BOOBY,total_labels.MIKADO  PHEASANT,total_labels.MYNA,total_labels.NICOBAR PIGEON,total_labels.NORTHERN JACANA,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.RAINBOW LORIKEET,total_labels.RED HEADED WOODPECKER,total_labels.RED WISKERED BULBUL,total_labels.ROSY FACED LOVEBIRD,total_labels.ROYAL FLYCATCHER,total_labels.RUBY THROATED HUMMINGBIRD,total_labels.SAND MARTIN,total_labels.TRUMPTER SWAN,total_labels.TURQUOISE MOTMOT,total_labels.UMBRELLA BIRD,total_labels.WATTLED CURASSOW,total_labels.WHITE TAILED TROPIC,total_labels.WILSONS BIRD OF PARADISE,label_accuracy.ALBATROSS,label_accuracy.ANHINGA,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.BARRED PUFFBIRD,label_accuracy.BIRD OF PARADISE,label_accuracy.BLUE HERON,label_accuracy.CALIFORNIA CONDOR,label_accuracy.CAPUCHINBIRD,label_accuracy.CUBAN TODY,label_accuracy.EASTERN BLUEBIRD,label_accuracy.ELEGANT TROGON,label_accuracy.EURASIAN GOLDEN ORIOLE,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.GLOSSY IBIS,label_accuracy.GOLDEN CHLOROPHONIA,label_accuracy.GREY PLOVER,label_accuracy.GUINEAFOWL,label_accuracy.HOOPOES,label_accuracy.HOUSE FINCH,label_accuracy.INDIAN BUSTARD,label_accuracy.INDIAN PITTA,label_accuracy.INDIGO BUNTING,label_accuracy.JAVA SPARROW,label_accuracy.KAKAPO,label_accuracy.KING VULTURE,label_accuracy.MALLARD DUCK,label_accuracy.MASKED BOOBY,label_accuracy.MIKADO  PHEASANT,label_accuracy.MYNA,label_accuracy.NICOBAR PIGEON,label_accuracy.NORTHERN JACANA,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.RAINBOW LORIKEET,label_accuracy.RED HEADED WOODPECKER,label_accuracy.RED WISKERED BULBUL,label_accuracy.ROSY FACED LOVEBIRD,label_accuracy.ROYAL FLYCATCHER,label_accuracy.RUBY THROATED HUMMINGBIRD,label_accuracy.SAND MARTIN,label_accuracy.TRUMPTER SWAN,label_accuracy.TURQUOISE MOTMOT,label_accuracy.UMBRELLA BIRD,label_accuracy.WATTLED CURASSOW,label_accuracy.WHITE TAILED TROPIC,label_accuracy.WILSONS BIRD OF PARADISE
0,1463,1489,0.9825386165211552,0.07785979303912259,26,30,25,29,36,28,34,37,34,25,29,27,23,40,28,42,29,31,20,27,48,31,35,43,23,31,30,33,24,29,21,17,34,34,29,23,31,31,24,28,23,20,36,34,26,31,36,34,24,28,31,25,29,40,28,34,37,34,25,29,27,25,41,28,42,30,31,20,27,49,31,38,44,24,31,30,33,24,30,21,17,36,34,29,23,31,32,24,29,23,20,36,36,26,31,36,34,26,0.9285714285714286,0.967741935483871,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.975609756097561,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.9795918367346939,1.0,0.9210526315789473,0.9772727272727273,0.9583333333333334,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.96875,1.0,0.9655172413793104,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9230769230769231
1,1464,1489,0.9832102081934184,0.06265155098146444,30,29,39,24,24,33,27,33,23,40,34,25,22,29,30,39,28,29,31,29,53,25,44,30,25,20,25,27,21,19,33,28,28,31,40,24,32,26,18,39,26,32,33,22,40,29,27,45,24,31,30,39,24,25,34,27,36,23,40,34,25,23,29,30,39,28,29,33,29,54,25,44,32,26,20,26,27,22,19,33,28,29,31,40,24,32,28,18,39,26,32,33,23,40,29,29,46,26,0.967741935483871,0.9666666666666667,1.0,1.0,0.96,0.9705882352941176,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,0.9393939393939394,1.0,0.9814814814814815,1.0,1.0,0.9375,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9545454545454546,1.0,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,1.0,0.9310344827586207,0.9782608695652174,0.9230769230769231
2,1465,1489,0.9838817998656817,0.06272467774951354,25,31,25,28,31,25,36,34,35,31,25,32,32,40,21,31,35,26,32,26,50,29,31,25,27,26,27,22,19,35,31,28,39,27,30,36,19,27,26,28,29,27,36,31,35,21,28,41,34,27,33,26,28,31,25,37,36,39,31,25,32,32,42,21,32,35,26,32,26,50,29,31,26,27,27,28,23,19,36,31,28,39,27,30,38,19,28,26,28,29,27,37,31,35,21,28,41,34,0.9259259259259259,0.9393939393939394,0.9615384615384616,1.0,1.0,1.0,0.972972972972973,0.9444444444444444,0.8974358974358975,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,1.0,0.9629629629629629,0.9642857142857143,0.9565217391304348,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0
3,1467,1489,0.9852249832102082,0.0573415814037638,24,32,40,31,24,24,28,30,35,17,28,27,30,30,32,32,29,21,20,27,46,24,39,36,27,31,27,32,25,37,28,24,44,30,31,19,34,26,21,36,32,28,34,29,48,28,29,35,26,25,32,40,31,25,26,28,32,36,17,28,28,31,30,32,32,29,21,21,27,46,24,39,37,29,31,28,32,26,37,28,24,45,30,31,19,34,27,22,36,32,28,34,30,48,28,29,38,26,0.96,1.0,1.0,1.0,0.96,0.9230769230769231,1.0,0.9375,0.9722222222222222,1.0,1.0,0.9642857142857143,0.967741935483871,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.972972972972973,0.9310344827586207,1.0,0.9642857142857143,1.0,0.9615384615384616,1.0,1.0,1.0,0.9777777777777777,1.0,1.0,1.0,1.0,0.9629629629629629,0.9545454545454546,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.9210526315789473,1.0
4,1461,1489,0.9811954331766286,0.06558161580658664,31,33,27,22,24,32,31,29,27,31,19,27,30,40,18,32,31,34,24,26,55,32,44,36,25,28,23,22,27,34,36,23,28,23,28,32,32,31,36,35,34,25,32,23,23,33,31,32,30,32,35,27,22,28,32,33,30,27,31,20,28,30,40,19,33,31,34,25,26,57,32,44,38,25,28,25,22,27,34,36,23,29,23,28,32,32,32,37,35,34,25,32,24,23,33,32,34,30,0.96875,0.9428571428571428,1.0,1.0,0.8571428571428571,1.0,0.9393939393939394,0.9666666666666667,1.0,1.0,0.95,0.9642857142857143,1.0,1.0,0.9473684210526315,0.9696969696969697,1.0,1.0,0.96,1.0,0.9649122807017544,1.0,1.0,0.9473684210526315,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,0.96875,0.972972972972973,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,0.96875,0.9411764705882353,1.0
