,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,189,292,0.6472602739726028,2.00045412207303,15,21,15,13,14,19,21,32,15,24,29,36,23,25,30,29,27,36,26,31,0.5172413793103449,0.5833333333333334,0.6521739130434783,0.52,0.4666666666666667,0.6551724137931034,0.7777777777777778,0.8888888888888888,0.5769230769230769,0.7741935483870968
1,201,292,0.6883561643835616,1.5185834789929324,19,28,21,19,24,19,20,22,14,15,36,37,30,28,31,26,27,26,27,24,0.5277777777777778,0.7567567567567568,0.7,0.6785714285714286,0.7741935483870968,0.7307692307692307,0.7407407407407407,0.8461538461538461,0.5185185185185185,0.625
2,222,292,0.7602739726027398,1.1957645865335857,18,31,23,24,18,21,21,29,17,20,26,37,28,32,27,28,23,30,29,32,0.6923076923076923,0.8378378378378378,0.8214285714285714,0.75,0.6666666666666666,0.75,0.9130434782608695,0.9666666666666667,0.5862068965517241,0.625
3,203,292,0.6952054794520548,1.3251182428778034,14,25,14,28,20,21,25,24,12,20,27,37,23,41,29,25,29,28,20,33,0.5185185185185185,0.6756756756756757,0.6086956521739131,0.6829268292682927,0.6896551724137931,0.84,0.8620689655172413,0.8571428571428571,0.6,0.6060606060606061
4,212,292,0.726027397260274,1.3557953540592977,15,23,15,28,11,19,34,31,18,18,25,33,28,41,16,30,36,32,26,25,0.6,0.696969696969697,0.5357142857142857,0.6829268292682927,0.6875,0.6333333333333333,0.9444444444444444,0.96875,0.6923076923076923,0.72
