,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,215,292,0.7363013698630136,1.4724409906831506,17,24,14,32,19,18,21,40,14,16,29,38,22,40,28,22,24,45,25,19,0.5862068965517241,0.631578947368421,0.6363636363636364,0.8,0.6785714285714286,0.8181818181818182,0.875,0.8888888888888888,0.56,0.8421052631578947
1,216,292,0.7397260273972602,1.5291111338628482,18,23,23,19,22,22,19,30,13,27,28,37,31,29,27,27,23,34,21,35,0.6428571428571429,0.6216216216216216,0.7419354838709677,0.6551724137931034,0.8148148148148148,0.8148148148148148,0.8260869565217391,0.8823529411764706,0.6190476190476191,0.7714285714285715
2,211,292,0.7226027397260274,1.343230854975034,23,24,18,20,19,24,24,34,8,17,39,34,26,31,21,31,28,39,25,18,0.5897435897435898,0.7058823529411765,0.6923076923076923,0.6451612903225806,0.9047619047619048,0.7741935483870968,0.8571428571428571,0.8717948717948718,0.32,0.9444444444444444
3,193,292,0.660958904109589,2.006097427786213,14,19,12,23,16,24,20,32,11,22,27,35,23,36,22,27,27,34,30,31,0.5185185185185185,0.5428571428571428,0.5217391304347826,0.6388888888888888,0.7272727272727273,0.8888888888888888,0.7407407407407407,0.9411764705882353,0.36666666666666664,0.7096774193548387
4,209,292,0.7157534246575342,1.5718354656271738,17,36,16,24,16,20,17,34,11,18,27,43,22,37,21,30,24,39,23,26,0.6296296296296297,0.8372093023255814,0.7272727272727273,0.6486486486486487,0.7619047619047619,0.6666666666666666,0.7083333333333334,0.8717948717948718,0.4782608695652174,0.6923076923076923
