,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,184,292,0.6301369863013698,1.3858289555327532,18,16,13,21,18,15,24,26,17,16,28,30,21,33,30,34,32,30,26,28,0.6428571428571429,0.5333333333333333,0.6190476190476191,0.6363636363636364,0.6,0.4411764705882353,0.75,0.8666666666666667,0.6538461538461539,0.5714285714285714
1,200,292,0.684931506849315,1.1690165498485303,16,24,17,22,22,20,17,24,14,24,27,41,25,29,28,28,25,27,26,36,0.5925925925925926,0.5853658536585366,0.68,0.7586206896551724,0.7857142857142857,0.7142857142857143,0.68,0.8888888888888888,0.5384615384615384,0.6666666666666666
2,178,292,0.6095890410958904,1.2530561440611538,15,19,18,18,18,17,18,30,6,19,32,34,23,27,31,31,25,33,23,33,0.46875,0.5588235294117647,0.782608695652174,0.6666666666666666,0.5806451612903226,0.5483870967741935,0.72,0.9090909090909091,0.2608695652173913,0.5757575757575758
3,194,292,0.6643835616438356,1.5511825215326596,17,24,15,26,17,15,18,34,12,16,30,41,19,36,23,23,21,39,27,33,0.5666666666666667,0.5853658536585366,0.7894736842105263,0.7222222222222222,0.7391304347826086,0.6521739130434783,0.8571428571428571,0.8717948717948718,0.4444444444444444,0.48484848484848486
4,194,292,0.6643835616438356,1.0907107599794048,13,16,20,25,22,18,20,27,10,23,33,27,24,35,35,29,25,33,20,31,0.3939393939393939,0.5925925925925926,0.8333333333333334,0.7142857142857143,0.6285714285714286,0.6206896551724138,0.8,0.8181818181818182,0.5,0.7419354838709677
