,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,197,292,0.6746575342465754,1.5549111251961696,13,23,17,24,24,15,20,29,12,20,21,35,24,41,27,25,23,33,31,32,0.6190476190476191,0.6571428571428571,0.7083333333333334,0.5853658536585366,0.8888888888888888,0.6,0.8695652173913043,0.8787878787878788,0.3870967741935484,0.625
1,180,292,0.6164383561643836,1.832424861111053,11,28,17,22,23,15,13,23,16,12,31,40,27,32,28,23,22,29,27,33,0.3548387096774194,0.7,0.6296296296296297,0.6875,0.8214285714285714,0.6521739130434783,0.5909090909090909,0.7931034482758621,0.5925925925925926,0.36363636363636365
2,224,292,0.7671232876712328,1.1338669241291204,23,25,21,22,22,22,25,34,15,15,31,36,24,29,25,25,32,36,33,21,0.7419354838709677,0.6944444444444444,0.875,0.7586206896551724,0.88,0.88,0.78125,0.9444444444444444,0.45454545454545453,0.7142857142857143
3,215,292,0.7363013698630136,1.1466194636201206,14,27,22,24,22,22,15,30,17,22,24,42,32,31,25,29,19,32,28,30,0.5833333333333334,0.6428571428571429,0.6875,0.7741935483870968,0.88,0.7586206896551724,0.7894736842105263,0.9375,0.6071428571428571,0.7333333333333333
4,186,292,0.636986301369863,2.23175399597377,15,18,13,18,21,30,17,26,11,17,36,30,19,29,25,40,27,33,28,25,0.4166666666666667,0.6,0.6842105263157895,0.6206896551724138,0.84,0.75,0.6296296296296297,0.7878787878787878,0.39285714285714285,0.68
