,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,183,292,0.6267123287671232,2.573346634841945,17,23,18,24,24,21,15,22,9,10,34,38,29,35,29,28,25,27,25,22,0.5,0.6052631578947368,0.6206896551724138,0.6857142857142857,0.8275862068965517,0.75,0.6,0.8148148148148148,0.36,0.45454545454545453
1,214,292,0.7328767123287672,1.475749016828733,19,25,21,22,26,19,22,25,12,23,28,30,30,27,29,31,23,30,28,36,0.6785714285714286,0.8333333333333334,0.7,0.8148148148148148,0.896551724137931,0.6129032258064516,0.9565217391304348,0.8333333333333334,0.42857142857142855,0.6388888888888888
2,208,292,0.7123287671232876,1.531454305738619,11,28,16,29,25,22,17,21,15,24,32,32,28,38,26,27,21,25,28,35,0.34375,0.875,0.5714285714285714,0.7631578947368421,0.9615384615384616,0.8148148148148148,0.8095238095238095,0.84,0.5357142857142857,0.6857142857142857
3,196,292,0.6712328767123288,2.2378835322922224,15,28,19,19,19,21,22,30,8,15,25,38,29,30,26,30,26,35,28,25,0.6,0.7368421052631579,0.6551724137931034,0.6333333333333333,0.7307692307692307,0.7,0.8461538461538461,0.8571428571428571,0.2857142857142857,0.6
4,206,292,0.7054794520547946,1.5615596846766668,11,22,17,19,21,22,22,38,13,21,26,29,26,24,29,30,29,45,29,25,0.4230769230769231,0.7586206896551724,0.6538461538461539,0.7916666666666666,0.7241379310344828,0.7333333333333333,0.7586206896551724,0.8444444444444444,0.4482758620689655,0.84
