,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,217,292,0.7431506849315068,1.295140759585655,16,29,14,24,24,19,19,32,17,23,25,37,20,29,28,34,26,32,31,30,0.64,0.7837837837837838,0.7,0.8275862068965517,0.8571428571428571,0.5588235294117647,0.7307692307692307,1.0,0.5483870967741935,0.7666666666666667
1,219,292,0.75,1.359473747749851,11,32,18,22,30,18,24,29,13,22,23,39,26,32,37,27,31,31,20,26,0.4782608695652174,0.8205128205128205,0.6923076923076923,0.6875,0.8108108108108109,0.6666666666666666,0.7741935483870968,0.9354838709677419,0.65,0.8461538461538461
2,226,292,0.773972602739726,1.3337312618347064,17,26,24,37,24,20,15,32,15,16,30,35,28,46,27,26,20,39,20,21,0.5666666666666667,0.7428571428571429,0.8571428571428571,0.8043478260869565,0.8888888888888888,0.7692307692307693,0.75,0.8205128205128205,0.75,0.7619047619047619
3,208,292,0.7123287671232876,1.3466215427607706,14,26,17,24,23,26,22,30,10,16,30,35,27,31,29,35,23,32,26,24,0.4666666666666667,0.7428571428571429,0.6296296296296297,0.7741935483870968,0.7931034482758621,0.7428571428571429,0.9565217391304348,0.9375,0.38461538461538464,0.6666666666666666
4,193,292,0.660958904109589,2.4523528014143854,19,25,20,18,25,14,17,25,10,20,34,37,29,29,29,22,23,35,28,26,0.5588235294117647,0.6756756756756757,0.6896551724137931,0.6206896551724138,0.8620689655172413,0.6363636363636364,0.7391304347826086,0.7142857142857143,0.35714285714285715,0.7692307692307693
