,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,282,292,0.9657534246575342,0.1320187808460977,23,31,26,30,21,30,25,42,30,24,24,33,27,31,21,30,25,42,33,26,0.9583333333333334,0.9393939393939394,0.9629629629629629,0.967741935483871,1.0,1.0,1.0,1.0,0.9090909090909091,0.9230769230769231
1,286,292,0.9794520547945206,0.06846118014790628,30,32,26,29,22,20,26,45,27,29,31,32,27,29,22,22,26,45,29,29,0.967741935483871,1.0,0.9629629629629629,1.0,1.0,0.9090909090909091,1.0,1.0,0.9310344827586207,1.0
2,290,292,0.9931506849315068,0.030514915437080375,29,31,29,33,20,27,30,37,30,24,29,32,29,33,20,27,30,37,31,24,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0
3,284,292,0.9726027397260274,0.07510046354711872,37,35,22,19,34,34,26,29,22,26,40,35,23,19,34,35,27,29,23,27,0.925,1.0,0.9565217391304348,1.0,1.0,0.9714285714285714,0.9629629629629629,1.0,0.9565217391304348,0.9629629629629629
4,288,292,0.9863013698630136,0.07001551181996522,29,33,19,42,34,20,29,30,22,30,30,33,19,44,34,20,29,30,22,31,0.9666666666666667,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,0.967741935483871
