,correct,total,accuracy,loss,correct_labels.ALBATROSS,correct_labels.BALD EAGLE,correct_labels.BARN OWL,correct_labels.EURASIAN MAGPIE,correct_labels.FLAMINGO,correct_labels.MALLARD DUCK,correct_labels.OSTRICH,correct_labels.PEACOCK,correct_labels.PELICAN,correct_labels.TRUMPTER SWAN,total_labels.ALBATROSS,total_labels.BALD EAGLE,total_labels.BARN OWL,total_labels.EURASIAN MAGPIE,total_labels.FLAMINGO,total_labels.MALLARD DUCK,total_labels.OSTRICH,total_labels.PEACOCK,total_labels.PELICAN,total_labels.TRUMPTER SWAN,label_accuracy.ALBATROSS,label_accuracy.BALD EAGLE,label_accuracy.BARN OWL,label_accuracy.EURASIAN MAGPIE,label_accuracy.FLAMINGO,label_accuracy.MALLARD DUCK,label_accuracy.OSTRICH,label_accuracy.PEACOCK,label_accuracy.PELICAN,label_accuracy.TRUMPTER SWAN
0,291,292,0.9965753424657534,0.01684010799412858,24,31,21,35,31,34,23,44,20,28,24,31,21,35,31,34,23,44,21,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,1.0
1,291,292,0.9965753424657534,0.014906552862631131,28,37,31,33,35,28,32,26,18,23,29,37,31,33,35,28,32,26,18,23,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,290,292,0.9931506849315068,0.011474711820483208,31,29,23,35,31,27,26,35,26,27,32,29,23,36,31,27,26,35,26,27,0.96875,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0
3,290,292,0.9931506849315068,0.017215061588340425,34,35,26,31,27,32,26,25,23,31,36,35,26,31,27,32,26,25,23,31,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,291,292,0.9965753424657534,0.023809938806377044,25,38,24,33,26,31,26,28,27,33,25,38,24,33,26,31,26,28,28,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0
